ngram,hit_count
0110011_0100011_0010011_0010011_0010011_0010011_0100011_0000011_0010011_1100011_0010011_,793
0010011_0100011_0000011_0010011_0100011_0000011_0100011_0000011_0010011_0100011_1100011_,752
0100011_0000011_0100011_0000011_0010011_0100011_0100011_1101111_0000011_0010011_0100011_,730
0000011_0100011_0000011_0010011_0100011_0100011_1101111_0000011_0010011_0100011_0000011_,730
0100011_0000011_0010011_0100011_0100011_1101111_0000011_0010011_0100011_0000011_0100011_,730
0000011_0010011_0100011_0100011_1101111_0000011_0010011_0100011_0000011_0100011_0000011_,730
0100011_0100011_0100011_0100011_0100011_0000011_0000011_1100011_0010011_1101111_0100011_,727
0000011_1100011_0000011_0010011_0100011_0000011_0000011_1100011_0000011_0010011_1101111_,727
1100011_0000011_0010011_0100011_0000011_0000011_1100011_0000011_0010011_1101111_0100011_,727
0000011_0010011_0100011_0000011_0000011_1100011_0000011_0010011_1101111_0100011_0000011_,727
0010011_0100011_0000011_0000011_1100011_0000011_0010011_1101111_0100011_0000011_0010011_,727
0100011_0000011_0000011_1100011_0000011_0010011_1101111_0100011_0000011_0010011_0100011_,727
0000011_0000011_1100011_0000011_0010011_1101111_0100011_0000011_0010011_0100011_0000011_,727
0000011_1100011_0000011_0010011_1101111_0100011_0000011_0010011_0100011_0000011_0000011_,727
1100011_0000011_0010011_1101111_0100011_0000011_0010011_0100011_0000011_0000011_1100011_,727
0000011_0010011_1101111_0100011_0000011_0010011_0100011_0000011_0000011_1100011_0010011_,727
0010011_1101111_0100011_0000011_0010011_0100011_0000011_0000011_1100011_0010011_0110011_,727
1101111_0100011_0000011_0010011_0100011_0000011_0000011_1100011_0010011_0110011_0000011_,727
0100011_0000011_0010011_0100011_0000011_0000011_1100011_0010011_0110011_0000011_0010011_,727
0000011_0100011_0010011_0010011_0110011_0110011_0000011_0100011_0010011_0010011_0110011_,680
0000011_0010011_0100011_0000011_0010011_0100011_0000011_0110011_0000011_0000011_0010011_,673
0110011_0110011_0000011_0100011_0010011_0010011_0110011_0110011_0000011_0100011_0010011_,658
0110011_0000011_0100011_0010011_0010011_0110011_0110011_0000011_0100011_0010011_0010011_,658
0100011_0000011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_,650
0110011_0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_,650
0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_,650
0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_,650
0010011_0110011_0110011_0000011_0100011_0000011_0010011_0100011_0000011_0000011_0100011_,650
0110011_0110011_0000011_0100011_0000011_0010011_0100011_0000011_0000011_0100011_0000011_,650
0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0110011_,650
0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_,650
0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_,650
0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0010011_,650
0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0010011_0010011_,650
0000011_1100011_0100011_1101111_0000011_0010011_0000011_0110011_0000011_0100011_0000011_,650
0000011_0110111_0010011_0010011_1100011_0010011_0110011_0010011_0010011_0000011_0100011_,650
0110111_0010011_0010011_1100011_0010011_0110011_0010011_0010011_0000011_0100011_0000011_,650
0100011_0000011_0100011_0010011_0000011_0010011_0110011_0110011_0000011_0100011_0000011_,650
0000011_0100011_0010011_0000011_0010011_0110011_0110011_0000011_0100011_0000011_0100011_,650
0000011_0010011_0100011_0000011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_,650
0010011_0100011_0000011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_,650
0000011_0100011_0000011_0100011_0010011_0000011_0010011_0110011_0110011_0000011_0100011_,650
0010011_0010011_0000011_0010011_0110011_0110111_0010011_0010011_0110011_0110011_0010011_,641
0010011_0000011_0010011_0110011_0110111_0010011_0010011_0110011_0110011_0010011_0000011_,641
0000011_0010011_0110011_0110111_0010011_0010011_0110011_0110011_0010011_0000011_0010011_,641
0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_,624
0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_,624
0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_0010011_,624
0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_0010011_0010011_,624
0100011_0010011_0000011_0010011_0110011_0110011_0000011_0100011_0000011_0100011_0000011_,624
0000011_0010011_0110011_0110011_0000011_0000011_0010011_0110011_0110011_0000011_0100011_,624
0010011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_,620
0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_,620
0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_,620
