n-gram_size,opcodes_to_match,class_threshold,WHOLESET-accuracy,WHOLESET-TPR,WHOLESET-FPR,WHOLESET-F1_score,SUBSET-accuracy,SUBSET-TPR,SUBSET-FPR,SUBSET-F1_score
6,4/6,0.25,50.0,100.0,100.0,66.66666666666674,50.0,100.0,100.0,66.66666666666674
6,4/6,0.26,50.0,100.0,100.0,66.66666666666674,50.0,100.0,100.0,66.66666666666674
6,4/6,0.27,50.0,100.0,100.0,66.66666666666674,50.0,100.0,100.0,66.66666666666674
6,4/6,0.28,50.0,100.0,100.0,66.66666666666674,50.0,100.0,100.0,66.66666666666674
6,4/6,0.29,50.0,100.0,100.0,66.66666666666674,50.0,100.0,100.0,66.66666666666674
6,4/6,0.3,50.0,100.0,100.0,66.66666666666674,50.0,100.0,100.0,66.66666666666674
6,4/6,0.31,50.0,100.0,100.0,66.66666666666674,50.0,100.0,100.0,66.66666666666674
6,4/6,0.32,50.0,100.0,100.0,66.66666666666674,50.0,100.0,100.0,66.66666666666674
6,4/6,0.33,50.0,100.0,100.0,66.66666666666674,50.0,100.0,100.0,66.66666666666674
6,4/6,0.34,50.0,100.0,100.0,66.66666666666674,50.0,100.0,100.0,66.66666666666674
6,4/6,0.35,50.0,100.0,100.0,66.66666666666674,50.0,100.0,100.0,66.66666666666674
6,5/6,0.25,69.15625,78.4375,40.125,71.57510510215316,71.34375,93.5,50.8125,76.62870222177922
6,5/6,0.26,67.90625,69.75,33.9375,68.05390982672155,70.375,75.0625,34.3125,71.53361845878356
6,5/6,0.27,64.78125,60.8125,31.25,63.12665996701419,67.125,65.125,30.875,66.14202600428065
6,5/6,0.28,66.15625,57.0,24.6875,62.20201444053539,68.03125,64.3125,28.25,66.42468511005693
6,5/6,0.29,65.1875,54.0625,23.6875,60.2498920221516,67.84375,63.5,27.8125,66.07440482067439
6,5/6,0.3,67.78125,55.5,19.9375,62.361135570824814,62.46875,50.75,25.8125,56.99699819193256
6,5/6,0.31,63.21875,44.0625,17.625,53.424674414186676,58.9375,25.5625,7.6875,37.52934779129826
6,5/6,0.32,62.59375,40.875,15.6875,51.43990816480892,65.65625,46.875,15.5625,57.134785271474364
6,5/6,0.33,62.5,39.375,14.375,50.382434521794906,65.5,46.3125,15.3125,56.488982538501
6,5/6,0.34,61.0,34.625,12.625,45.38070232477327,53.9375,14.9375,7.0625,23.72334894432081
6,5/6,0.35,58.0625,28.8125,12.6875,39.10234761011999,65.09375,43.875,13.6875,55.14880828206167
6,6/6,0.01,96.03125,95.5,3.4375,95.99067978086168,98.5,97.0,0.0,98.43440860215053
6,6/6,0.02,94.40625,89.875,1.0625,94.02545211503777,98.09375,96.1875,0.0,98.0040786058584
6,6/6,0.03,80.71875,62.3125,0.875,75.7965500616326,84.03125,68.0625,0.0,80.36300754059037
6,6/6,0.04,72.03125,44.625,0.5625,60.584128735066976,74.03125,48.0625,0.0,64.05816914900484
6,6/6,0.05,68.3125,36.75,0.125,52.67327199455351,69.96875,39.9375,0.0,55.93858826993841
