n-gram_size,opcodes_to_match,class_threshold,num_detectors,accuracy,TPR,F1_score
6,6/6,0.01,327,95.46875,93.6875,2.75,95.34480286148236
6,6/6,0.01,16,98.46875,96.9375,0.0,98.40645161290323
6,6/6,0.01,32,98.59375,97.1875,0.0,98.52880978865407
6,6/6,0.01,64,98.46875,96.9375,0.0,98.4062291434928
6,6/6,0.01,128,98.5,97.0,0.0,98.42988505747127
6,6/6,0.02,329,94.34375,90.0,1.3125,93.94907564575254
6,6/6,0.02,16,96.25,92.5,0.0,95.99685364690926
6,6/6,0.02,32,95.84375,91.6875,0.0,95.55937284813815
6,6/6,0.02,64,95.9375,91.875,0.0,95.65210021717256
6,6/6,0.02,128,95.75,91.5,0.0,95.44421844377354
6,6/6,0.03,325,81.40625,63.6875,0.875,76.80492433181074
6,6/6,0.03,16,88.15625,76.3125,0.0,86.1179578267899
6,6/6,0.03,32,89.03125,78.0625,0.0,87.25322045976111
6,6/6,0.03,64,87.71875,75.4375,0.0,85.65187851306543
6,6/6,0.03,128,88.65625,77.3125,0.0,86.82770866014478
6,6/6,0.04,330,73.4375,47.5,0.625,63.233711339935624
6,6/6,0.04,16,79.4375,58.875,0.0,73.46246973305448
6,6/6,0.04,32,78.09375,56.1875,0.0,71.04672827755292
6,6/6,0.04,64,78.34375,56.6875,0.0,71.5043691032834
6,6/6,0.04,128,78.53125,57.0625,0.0,71.94004378652058
6,6/6,0.05,327,68.84375,37.8125,0.125,53.906534384337625
6,6/6,0.05,16,69.84375,39.6875,0.0,55.9689959400715
6,6/6,0.05,32,70.0625,40.125,0.0,56.111266335156536
6,6/6,0.05,64,70.9375,41.875,0.0,58.0794991702086
6,6/6,0.05,128,70.15625,40.3125,0.0,56.33395814118931
